gnome-keyring 3.28.0.2-1ubuntu1.18.04.1
gnome-software 3.28.1-0ubuntu4.18.04.10
gnome-software-common 3.28.1-0ubuntu4.18.04.10
gnome-system-tools 3.0.0-6ubuntu1
gnumeric 1.12.35-1.1
gnupg 2.2.4-1ubuntu1.2
gnupg-agent 2.2.4-1ubuntu1.2
gnupg-l10n 2.2.4-1ubuntu1.2
gnupg-utils 2.2.4-1ubuntu1.2
google-chrome-stable 76.0.3809.132-1
google-cloud-sdk 260.0.0-0
gparted 0.30.0-3ubuntu2
gpg 2.2.4-1ubuntu1.2
gpg-agent 2.2.4-1ubuntu1.2
gpg-wks-client 2.2.4-1ubuntu1.2
gpg-wks-server 2.2.4-1ubuntu1.2
gpgconf 2.2.4-1ubuntu1.2
gpgsm 2.2.4-1ubuntu1.2
gpgv 2.2.4-1ubuntu1.2
gpicview 0.2.5-2
grep 3.1-2
groff-base 1.22.3-10
growisofs 7.1-12
grub-common 2.02-2ubuntu8.13
grub-gfxpayload-lists 0.7
grub-pc 2.02-2ubuntu8.13
grub-pc-bin 2.02-2ubuntu8.13
grub2-common 2.02-2ubuntu8.13
gsettings-desktop-schemas 3.28.0-1ubuntu1
gsettings-ubuntu-schemas 0.0.7+17.10.20170922-0ubuntu1
gsfonts 1:8.11+urwcyr1.0.7~pre44-4.4
gstreamer1.0-libav 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-nice 0.1.14-1
gstreamer1.0-plugins-base 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-plugins-good 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-pulseaudio 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-x 1.14.5-0ubuntu1~18.04.1
gtk-update-icon-cache 3.22.30-1ubuntu4
gtk2-engines 1:2.20.2-5
gtk2-engines-murrine 0.98.2-2ubuntu1
gtk2-engines-pixbuf 2.24.32-1ubuntu1
gtklp 1.3.1-0.1build1
gucharmap 1:10.0.4-1
gvfs 1.36.1-0ubuntu1.3.3
gvfs-backends 1.36.1-0ubuntu1.3.3
gvfs-bin 1.36.1-0ubuntu1.3.3
gvfs-common 1.36.1-0ubuntu1.3.3
gvfs-daemons 1.36.1-0ubuntu1.3.3
gvfs-fuse 1.36.1-0ubuntu1.3.3
gvfs-libs 1.36.1-0ubuntu1.3.3
