accountsservice 0.6.45-1ubuntu1
libaccountsservice0 0.6.45-1ubuntu1
libacl1 2.2.52-3build1
libalgorithm-diff-perl 1.19.03-1
libalgorithm-diff-xs-perl 0.04-5
libalgorithm-merge-perl 0.08-3
libapparmor-perl 2.12-4ubuntu5.1
libapparmor1 2.12-4ubuntu5.1
libappindicator1 12.10.1+18.04.20180322.1-0ubuntu1
libappindicator3-1 12.10.1+18.04.20180322.1-0ubuntu1
libappstream-glib8 0.7.7-2
libappstream4 0.12.0-3ubuntu1
libapt-inst2.0 1.6.11
libapt-pkg-perl 0.1.33build1
libapt-pkg5.0 1.6.11
libarchive-zip-perl 1.60-1ubuntu0.1
libarchive13 3.2.2-3.1ubuntu0.3
libargon2-0 0~20161029-1.1
libaribb24-0 1.0.3-1
libasan3 6.5.0-2ubuntu1~18.04
libasan4 7.4.0-1ubuntu1~18.04.1
libasn1-8-heimdal 7.5.0+dfsg-1
libasound2 1.1.3-5ubuntu0.2
libasound2-data 1.1.3-5ubuntu0.2
libasound2-plugins 1.1.1-1ubuntu1
libaspell15 0.60.7~20110707-4
libass5 1:0.13.4-2
libass9 1:0.14.0-1
libassuan0 2.5.1-2
libasyncns0 0.8-6
libatasmart4 0.19-4
libatk-bridge2.0-0 2.26.2-1
libatk1.0-0 2.28.1-1
libatk1.0-data 2.28.1-1
libatkmm-1.6-1v5 2.24.2-3
libatm1 1:2.5.1-2build1
libatomic1 8.3.0-6ubuntu1~18.04.1
libatspi2.0-0 2.28.0-1
libattr1 1:2.4.47-2build1
libaudcore3 3.7.2-1ubuntu1
libaudcore5 3.9-2
libaudgui3 3.7.2-1ubuntu1
libaudgui5 3.9-2
libaudit-common 1:2.8.2-1ubuntu1
libaudit1 1:2.8.2-1ubuntu1
libaudtag2 3.7.2-1ubuntu1
libaudtag3 3.9-2
libauthen-pam-perl 0.16-3build5
libauthen-sasl-perl 2.1600-1
libavahi-client3 0.7-3.1ubuntu1.2
libavahi-common-data 0.7-3.1ubuntu1.2
libavahi-common3 0.7-3.1ubuntu1.2
libavahi-core7 0.7-3.1ubuntu1.2
libavahi-glib1 0.7-3.1ubuntu1.2
libavahi-ui-gtk3-0 0.7-3.1ubuntu1.2
libavc1394-0 0.5.4-4build1
libavcodec57 7:3.4.6-0ubuntu0.18.04.1
libavdevice57 7:3.4.6-0ubuntu0.18.04.1
libavfilter6 7:3.4.6-0ubuntu0.18.04.1
libavformat57 7:3.4.6-0ubuntu0.18.04.1
libavresample3 7:3.4.6-0ubuntu0.18.04.1
libavutil55 7:3.4.6-0ubuntu0.18.04.1
libbasicusageenvironment1 2018.02.18-1
libbind9-160 1:9.11.3+dfsg-1ubuntu1.8
libbinutils 2.30-21ubuntu1~18.04.2
libblkid1 2.31.1-0.4ubuntu3.3
libblockdev-crypto2 2.16-2
libblockdev-fs2 2.16-2
libblockdev-loop2 2.16-2
libblockdev-part-err2 2.16-2
libblockdev-part2 2.16-2
libblockdev-swap2 2.16-2
libblockdev-utils2 2.16-2
libblockdev2 2.16-2
libbluetooth3 5.48-0ubuntu3.1
libbluray2 1:1.0.2-3
libboost-filesystem1.62.0 1.62.0+dfsg-5
libboost-filesystem1.65.1 1.65.1+dfsg-0ubuntu5
libboost-system1.62.0 1.62.0+dfsg-5
libboost-system1.65.1 1.65.1+dfsg-0ubuntu5
libboost-thread1.62.0 1.62.0+dfsg-5
libboost-thread1.65.1 1.65.1+dfsg-0ubuntu5
libbrotli1 1.0.3-1ubuntu1.2
libbs2b0 3.1.0+dfsg-2.2
libbsd0 0.8.7-1
libburn4 1.4.8-1
libbz2-1.0 1.0.6-8.1ubuntu0.2
libc-bin 2.27-3ubuntu1
libc-dev-bin 2.27-3ubuntu1
libc6 2.27-3ubuntu1
libc6-dev 2.27-3ubuntu1
libcaca0 0.99.beta19-2ubuntu0.18.04.1
libcairo-gobject-perl 1.004-2build3
libcairo-gobject2 1.15.10-2ubuntu0.1
libcairo-perl 1.106-2build2
libcairo2 1.15.10-2ubuntu0.1
libcairomm-1.0-1v5 1.12.2-3
libcamel-1.2-59 3.22.7-0ubuntu1
libcamel-1.2-60 3.26.1-1ubuntu1
libcamel-1.2-61 3.28.5-0ubuntu0.18.04.2
libcanberra-gtk3-0 0.30-5ubuntu1
libcanberra0 0.30-5ubuntu1
libcap-ng0 0.7.7-3.1
libcap2 1:2.25-1.2
libcap2-bin 1:2.25-1.2
libcapnp-0.6.1 0.6.1-1ubuntu1
libcc1-0 8.3.0-6ubuntu1~18.04.1
libcddb2 1.3.2-5fakesync1
libcdio-cdda2 10.2+0.94+2-2build1
libcdio-paranoia2 10.2+0.94+2-2build1
libcdio17 1.0.0-2ubuntu2
libcdparanoia0 3.10.2+debian-13
libcephfs2 12.2.12-0ubuntu0.18.04.1
libcgi-fast-perl 1:2.13-1
libcgi-pm-perl 4.38-1
libchamplain-0.12-0 0.12.16-2
libchamplain-gtk-0.12-0 0.12.16-2
libchromaprint1 1.4.3-1
libcilkrts5 7.4.0-1ubuntu1~18.04.1
libclass-accessor-perl 0.51-1
libclone-perl 0.39-1
libclutter-1.0-0 1.26.2+dfsg-4
libclutter-gtk-1.0-0 1.8.4-3
libcogl-pango20 1.22.2-3ubuntu1
libcogl-path20 1.22.2-3ubuntu1
libcogl20 1.22.2-3ubuntu1
libcolord2 1.3.3-2build1
libcom-err2 1.44.1-1ubuntu1.1
libcomerr2 1.44.1-1ubuntu1.1
libcompfaceg1 1:1.5.2-5build1
libcontent-hub-glib0 0.3+17.04.20170403-0ubuntu2
libcrack2 2.9.2-5build1
libcroco3 0.6.12-2
libcryptsetup12 2:2.0.2-1ubuntu1.1
libcrystalhd3 1:0.0~git20110715.fdd2f19-12
libcue1 1.4.0-1
libcups2 2.2.7-1ubuntu2.7
libcupscgi1 2.2.7-1ubuntu2.7
libcupsfilters1 1.20.2-0ubuntu3.1
libcupsimage2 2.2.7-1ubuntu2.7
libcupsmime1 2.2.7-1ubuntu2.7
libcupsppdc1 2.2.7-1ubuntu2.7
libcurl3-gnutls 7.58.0-2ubuntu3.7
libcurl4 7.58.0-2ubuntu3.7
libdaemon0 0.14-6
libdata-dump-perl 1.23-1
libdatrie1 0.2.10-7
libdb5.3 5.3.28-13.1ubuntu1.1
libdbus-1-3 1.12.2-1ubuntu1.1
libdbus-glib-1-2 0.110-2
libdbusmenu-glib4 16.04.1+18.04.20171206-0ubuntu2
libdbusmenu-gtk3-4 16.04.1+18.04.20171206-0ubuntu2
libdbusmenu-gtk4 16.04.1+18.04.20171206-0ubuntu2
libdc1394-22 2.2.5-1
libdca0 0.0.5-10
libdconf1 0.26.0-2ubuntu3
libde265-0 1.0.2-2build1
libdebconfclient0 0.213ubuntu1
libdee-1.0-4 1.2.7+17.10.20170616-0ubuntu4
libdevmapper1.02.1 2:1.02.145-4.1ubuntu3.18.04.1
libdigest-hmac-perl 1.03+dfsg-1
libdjvulibre-text 3.5.27.1-8
libdjvulibre21 3.5.27.1-8
libdns-export1100 1:9.11.3+dfsg-1ubuntu1.8
libdns1100 1:9.11.3+dfsg-1ubuntu1.8
libdouble-conversion1 2.0.1-4ubuntu1
libdpkg-perl 1.19.0.5ubuntu2.2
libdrm-amdgpu1 2.4.97-1ubuntu1~18.04.1
libdrm-common 2.4.97-1ubuntu1~18.04.1
libdrm-dev 2.4.97-1ubuntu1~18.04.1
libdrm-intel1 2.4.97-1ubuntu1~18.04.1
libdrm-nouveau2 2.4.97-1ubuntu1~18.04.1
libdrm-radeon1 2.4.97-1ubuntu1~18.04.1
libdrm2 2.4.97-1ubuntu1~18.04.1
libdv4 1.0.0-11
libdvbpsi10 1.3.2-1
libdvdnav4 6.0.0-1
libdvdread4 6.0.0-1
libebackend-1.2-10 3.28.5-0ubuntu0.18.04.2
libebml4v5 1.3.5-2ubuntu0.1
libebook-1.2-16 3.22.7-0ubuntu1
libebook-contacts-1.2-2 3.28.5-0ubuntu0.18.04.2
libebur128-1 1.2.4-1
libedata-book-1.2-25 3.28.5-0ubuntu0.18.04.2
libedataserver-1.2-22 3.26.1-1ubuntu1
libedataserver-1.2-23 3.28.5-0ubuntu0.18.04.2
libedit2 3.1-20170329-1
libefiboot1 34-1
libefivar1 34-1
libegl-mesa0 19.0.8-0ubuntu0~18.04.1
libegl1 1.0.0-2ubuntu2.3
libegl1-mesa 19.0.8-0ubuntu0~18.04.1
libegl1-mesa-dev 19.0.8-0ubuntu0~18.04.1
libelf1 0.170-0.4ubuntu0.1
libemail-valid-perl 1.202-1
libenchant1c2a 1.6.0-11.1
libencode-locale-perl 1.05-1
libepoxy0 1.4.3-1
libept1.5.0 1.1+nmu3build1
liberror-perl 0.17025-1
libestr0 0.1.10-2.1
libevdev2 1.5.8+dfsg-1
libevdocument3-4 3.28.4-0ubuntu1.2
libevemu3 2.6.0-0.1
libevent-2.0-5 2.0.21-stable-3
libevent-2.1-6 2.1.8-stable-4build1
libevview3-3 3.28.4-0ubuntu1.2
libexif12 0.6.21-4
libexo-1-0 0.12.2-0ubuntu0.18.04.1
libexo-2-0 0.12.2-0ubuntu0.18.04.1
libexo-common 0.12.2-0ubuntu0.18.04.1
libexo-helpers 0.12.2-0ubuntu0.18.04.1
libexpat1 2.2.5-3ubuntu0.1
libexporter-tiny-perl 1.000000-2
libext2fs2 1.44.1-1ubuntu1.1
libfaad2 2.8.8-1
libfakeroot 1.22-2ubuntu1
libfarstream-0.2-5 0.2.8-4.1~build1
libfastjson4 0.99.8-2
libfcgi-perl 0.78-2build1
libfcitx-config4 1:4.2.9.6-1
libfcitx-core0 1:4.2.9.6-1
libfcitx-gclient1 1:4.2.9.6-1
libfcitx-utils0 1:4.2.9.6-1
libfdisk1 2.31.1-0.4ubuntu3.3
libffi6 3.2.1-8
libffmpegthumbnailer4v5 2.1.1-0.1build1
libfftw3-double3 3.3.7-1
libfftw3-single3 3.3.7-1
libfile-basedir-perl 0.07-1
libfile-copy-recursive-perl 0.40-1
libfile-fcntllock-perl 0.22-3build2
libfile-listing-perl 6.04-1
libflac8 1.3.2-1
libflite1 2.1-release-1
libfluidsynth1 1.1.9-1
libfm-data 1.2.5-1ubuntu1
libfm-extra4 1.2.5-1ubuntu1
libfm-gtk-data 1.2.5-1ubuntu1
libfm-gtk4 1.2.5-1ubuntu1
libfm-modules 1.2.5-1ubuntu1
libfm4 1.2.5-1ubuntu1
