accountsservice 0.6.45-1ubuntu1
libx11-xcb-dev 2:1.6.4-3ubuntu0.2
libx11-xcb1 2:1.6.4-3ubuntu0.2
libx264-152 2:0.152.2854+gite9a5903-2
libx265-110 2.3-2
libx265-146 2.6-3
libxapian30 1.4.5-1ubuntu0.1
libxatracker2 19.0.8-0ubuntu0~18.04.1
libxau-dev 1:1.0.8-1
libxau6 1:1.0.8-1
libxaw7 2:1.0.13-1
libxcb-dri2-0 1.13-2~ubuntu18.04
libxcb-dri2-0-dev 1.13-2~ubuntu18.04
libxcb-dri3-0 1.13-2~ubuntu18.04
libxcb-dri3-dev 1.13-2~ubuntu18.04
libxcb-glx0 1.13-2~ubuntu18.04
libxcb-glx0-dev 1.13-2~ubuntu18.04
libxcb-icccm4 0.4.1-1ubuntu1
libxcb-image0 0.4.0-1build1
libxcb-keysyms1 0.4.0-1
libxcb-present-dev 1.13-2~ubuntu18.04
libxcb-present0 1.13-2~ubuntu18.04
libxcb-randr0 1.13-2~ubuntu18.04
libxcb-randr0-dev 1.13-2~ubuntu18.04
libxcb-render-util0 0.3.9-1
libxcb-render0 1.13-2~ubuntu18.04
libxcb-render0-dev 1.13-2~ubuntu18.04
libxcb-shape0 1.13-2~ubuntu18.04
libxcb-shape0-dev 1.13-2~ubuntu18.04
libxcb-shm0 1.13-2~ubuntu18.04
libxcb-sync-dev 1.13-2~ubuntu18.04
libxcb-sync1 1.13-2~ubuntu18.04
libxcb-util1 0.4.0-0ubuntu3
libxcb-xfixes0 1.13-2~ubuntu18.04
libxcb-xfixes0-dev 1.13-2~ubuntu18.04
libxcb-xinerama0 1.13-2~ubuntu18.04
libxcb-xkb1 1.13-2~ubuntu18.04
libxcb-xv0 1.13-2~ubuntu18.04
libxcb1 1.13-2~ubuntu18.04
libxcb1-dev 1.13-2~ubuntu18.04
libxcomposite1 1:0.4.4-2
libxcursor1 1:1.1.15-1
libxdamage-dev 1:1.1.4-3
libxdamage1 1:1.1.4-3
libxdmcp-dev 1:1.1.2-3
libxdmcp6 1:1.1.2-3
libxext-dev 2:1.3.3-1
libxext6 2:1.3.3-1
libxfce4panel-2.0-4 4.12.2-1ubuntu1
libxfce4ui-1-0 4.13.4-1ubuntu1
libxfce4ui-2-0 4.13.4-1ubuntu1
libxfce4ui-common 4.13.4-1ubuntu1
libxfce4util-common 4.12.1-3
libxfce4util7 4.12.1-3
libxfconf-0-2 4.12.1-1
libxfixes-dev 1:5.0.3-1
libxfixes3 1:5.0.3-1
libxfont2 1:2.0.3-1
libxft2 2.3.2-1
libxi6 2:1.7.9-1
libxinerama1 2:1.1.3-1
libxkbcommon-x11-0 0.8.0-1ubuntu0.1
libxkbcommon0 0.8.0-1ubuntu0.1
libxkbfile1 1:1.0.9-2
libxklavier16 5.4-3
libxml-libxml-perl 2.0128+dfsg-5
libxml-namespacesupport-perl 1.12-1
libxml-parser-perl 2.44-2build3
libxml-sax-base-perl 1.09-1
libxml-sax-expat-perl 0.40-2
libxml-sax-perl 0.99+dfsg-2ubuntu1
libxml-simple-perl 2.24-1
libxml-twig-perl 1:3.50-1
libxml2 2.9.4+dfsg1-6.1ubuntu1.2
libxmu6 2:1.1.2-2
libxmuu1 2:1.1.2-2
libxpm4 1:3.5.12-1
libxrandr2 2:1.5.1-1
libxrender1 1:0.9.10-1
libxres1 2:1.2.0-2
libxshmfence-dev 1.3-1
libxshmfence1 1.3-1
libxslt1.1 1.1.29-5ubuntu0.1
libxss1 1:1.2.2-1
libxt6 1:1.1.5-1
libxtables11 1.6.0-3ubuntu2
libxtables12 1.6.1-2ubuntu2
libxtst6 2:1.2.3-1
libxv1 2:1.0.11-1
libxvidcore4 2:1.3.5-1
libxvmc1 2:1.0.10-1
libxxf86dga1 2:1.1.4-1
libxxf86vm-dev 1:1.1.4-1
libxxf86vm1 1:1.1.4-1
libyajl2 2.1.0-2build1
libyaml-0-2 0.1.7-2ubuntu3
libyaml-libyaml-perl 0.69+repack-1
libzbar0 0.10+doc-10.1build2
libzephyr4 3.1.2-1build2
libzmq5 4.2.5-1ubuntu0.2
libzstd1 1.3.3+dfsg-2ubuntu1.1
libzvbi-common 0.2.35-13
libzvbi0 0.2.35-13
light-locker 1.8.0-1ubuntu1
lightdm 1.26.0-0ubuntu1
lightdm-gtk-greeter 2.0.5-0ubuntu1
lightdm-gtk-greeter-settings 1.2.2-1
lintian 2.5.81ubuntu1
linux-base 4.5ubuntu1
linux-firmware 1.173.9
linux-generic 4.15.0.58.60
linux-headers-4.10.0-35 4.10.0-35.39
linux-headers-4.10.0-35-generic 4.10.0-35.39
linux-headers-4.15.0-52 4.15.0-52.56
linux-headers-4.15.0-52-generic 4.15.0-52.56
linux-headers-4.15.0-54 4.15.0-54.58
linux-headers-4.15.0-54-generic 4.15.0-54.58
linux-headers-4.15.0-58 4.15.0-58.64
linux-headers-4.15.0-58-generic 4.15.0-58.64
linux-headers-generic 4.15.0.58.60
linux-image-4.10.0-19-generic 4.10.0-19.21
linux-image-4.10.0-32-generic 4.10.0-32.36
linux-image-4.10.0-37-generic 4.10.0-37.41
linux-image-4.10.0-42-generic 4.10.0-42.46
linux-image-4.13.0-46-generic 4.13.0-46.51
linux-image-4.15.0-46-generic 4.15.0-46.49
linux-image-4.15.0-48-generic 4.15.0-48.51
linux-image-4.15.0-52-generic 4.15.0-52.56
linux-image-4.15.0-54-generic 4.15.0-54.58
linux-image-4.15.0-55-generic 4.15.0-55.60
linux-image-4.15.0-58-generic 4.15.0-58.64
linux-image-extra-4.10.0-19-generic 4.10.0-19.21
linux-image-extra-4.10.0-32-generic 4.10.0-32.36
linux-image-extra-4.10.0-37-generic 4.10.0-37.41
linux-image-extra-4.10.0-42-generic 4.10.0-42.46
linux-image-extra-4.13.0-46-generic 4.13.0-46.51
linux-image-generic 4.15.0.58.60
linux-libc-dev 4.15.0-58.64
linux-modules-4.15.0-46-generic 4.15.0-46.49
linux-modules-4.15.0-48-generic 4.15.0-48.51
linux-modules-4.15.0-52-generic 4.15.0-52.56
linux-modules-4.15.0-54-generic 4.15.0-54.58
linux-modules-4.15.0-55-generic 4.15.0-55.60
linux-modules-4.15.0-58-generic 4.15.0-58.64
linux-modules-extra-4.15.0-46-generic 4.15.0-46.49
linux-modules-extra-4.15.0-48-generic 4.15.0-48.51
linux-modules-extra-4.15.0-52-generic 4.15.0-52.56
linux-modules-extra-4.15.0-54-generic 4.15.0-54.58
linux-modules-extra-4.15.0-55-generic 4.15.0-55.60
linux-modules-extra-4.15.0-58-generic 4.15.0-58.64
locales 2.27-3ubuntu1
login 1:4.5-1ubuntu2
logrotate 3.11.0-0.1ubuntu1
lsb-base 9.20170808ubuntu1
lsb-release 9.20170808ubuntu1
lshw 02.18-0.1ubuntu6.18.04.1
lsof 4.89+dfsg-0.1
ltrace 0.7.3-6ubuntu1
lubuntu-artwork 0.71.1
lubuntu-artwork-17-04 0.71.1
lubuntu-artwork-18-04 0.71.1
lubuntu-core 0.94.1
lubuntu-default-session 0.54.3
lubuntu-default-settings 0.54.3
lubuntu-gtk-core 0.94.1
lubuntu-icon-theme 0.71.1
lubuntu-lxpanel-icons 0.71.1
lxappearance 0.6.3-1
lxappearance-obconf 0.2.3-1build1
lxhotkey-core 0.1.0-1build2
lxhotkey-gtk 0.1.0-1build2
lxhotkey-plugin-openbox 0.1.0-1build2
lxinput 0.3.5-1
lxlauncher 0.2.5-1
lxlock 0.5.3-2ubuntu1
lxmenu-data 0.1.5-2
lxpanel 0.9.3-1ubuntu3
lxpanel-data 0.9.3-1ubuntu3
lxpanel-indicator-applet-plugin 0.9.3-1ubuntu3
lxpolkit 0.5.3-2ubuntu1
lxrandr 0.3.1-1
lxsession 0.5.3-2ubuntu1
lxsession-data 0.5.3-2ubuntu1
lxsession-default-apps 0.5.3-2ubuntu1
lxsession-logout 0.5.3-2ubuntu1
lxshortcut 1.2.5-1ubuntu1
lxtask 0.1.8-1
lxterminal 0.3.1-2ubuntu2
make 4.1-9.1ubuntu1
man-db 2.8.3-2ubuntu0.1
manpages 4.15-1
manpages-dev 4.15-1
mawk 1.3.3-17ubuntu3
mediatomb-daemon 0.12.1-47-g7ab7616-1ubuntu3
memtest86+ 5.01-3ubuntu2
mesa-common-dev 19.0.8-0ubuntu0~18.04.1
mesa-va-drivers 19.0.8-0ubuntu0~18.04.1
mime-support 3.60ubuntu1
minergate-cli 1.4
minidlna 1.2.1+dfsg-1
mlocate 0.26-2ubuntu3.1
mobile-broadband-provider-info 20170903-1
modemmanager 1.10.0-1~ubuntu18.04.2
mount 2.31.1-0.4ubuntu3.3
mplayer2 3:0.24.0-1
mpv 0.27.2-1ubuntu1
mscompress 0.4-3build1
mtools 4.0.18-2ubuntu1
mtpaint 3.40-3
mtr-tiny 0.92-1
multiarch-support 2.27-3ubuntu1
mysql-common 5.8+1.0.4
nano 2.9.3-2
ncurses-base 6.1-1ubuntu1.18.04
ncurses-bin 6.1-1ubuntu1.18.04
ncurses-term 6.1-1ubuntu1.18.04
neofetch 3.4.0-1
net-tools 1.60+git20161116.90da8a0-1ubuntu1
netbase 5.4
netcat-openbsd 1.187-1ubuntu0.1
netplan.io 0.97-0ubuntu1~18.04.1
nettle-dev 3.4-1
network-manager 1.10.14-0ubuntu2
network-manager-gnome 1.8.10-2ubuntu2
networkd-dispatcher 1.7-0ubuntu3.3
nomachine 6.7.6-14
notification-daemon 3.20.0-3
nplan 0.97-0ubuntu1~18.04.1
ntfs-3g 1:2017.3.23-2ubuntu0.18.04.2
obconf 1:2.0.4+git20150213-2
ocl-icd-libopencl1 2.2.11-1ubuntu1
openbox 3.6.1-7ubuntu0.1
openbox-menu 0.8.0+hg20161009-1
openprinting-ppds 20180306-1
openssh-client 1:7.6p1-4ubuntu0.3
openssh-server 1:7.6p1-4ubuntu0.3
openssh-sftp-server 1:7.6p1-4ubuntu0.3
openssl 1.1.1-1ubuntu2.1~18.04.4
os-prober 1.74ubuntu1
p11-kit 0.23.9-2
p11-kit-modules 0.23.9-2
packagekit 1.1.9-1ubuntu2.18.04.5
parted 3.2-20ubuntu0.2
passwd 1:4.5-1ubuntu2
pastebinit 1.5-2
patch 2.7.6-2ubuntu1.1
patchutils 0.3.4-2
pavucontrol 3.0-4
pciutils 1:3.5.2-1ubuntu1.1
pcmanfm 1.2.5-3ubuntu1
pcmciautils 018-8build1
perl 5.26.1-6ubuntu0.3
perl-base 5.26.1-6ubuntu0.3
perl-modules-5.24 5.24.1-2ubuntu1.1
perl-modules-5.26 5.26.1-6ubuntu0.3
perl-openssl-defaults 3build1
phantomjs 2.1.1+dfsg-2
pidgin 1:2.12.0-1ubuntu4
pidgin-data 1:2.12.0-1ubuntu4
pinentry-curses 1.1.0-1
pinentry-gnome3 1.1.0-1
pinentry-gtk2 1.1.0-1
plymouth 0.9.3-1ubuntu7.18.04.2
plymouth-label 0.9.3-1ubuntu7.18.04.2
plymouth-theme-lubuntu-logo 0.71.1
plymouth-theme-lubuntu-text 0.71.1
plymouth-theme-ubuntu-text 0.9.3-1ubuntu7.18.04.2
policykit-1 0.105-20ubuntu0.18.04.5
policykit-1-gnome 0.105-6ubuntu2
policykit-desktop-privileges 0.20ubuntu18.04.1
poppler-data 0.4.8-2
poppler-utils 0.62.0-2ubuntu2.10
popularity-contest 1.66ubuntu1
powermgmt-base 1.33
ppp 2.4.7-2+2ubuntu1.1
pptp-linux 1.9.0+ds-2
pptpd 1.4.0-11build1
printer-driver-brlaser 4-1
printer-driver-c2esp 27-4
printer-driver-foo2zjs 20170320dfsg0-4
printer-driver-foo2zjs-common 20170320dfsg0-4
printer-driver-gutenprint 5.2.13-2
printer-driver-hpcups 3.17.10+repack0-5
printer-driver-min12xxw 0.0.9-10
printer-driver-pnm2ppa 1.13+nondbs-0ubuntu6
printer-driver-ptouch 1.4.2-3
printer-driver-pxljr 1.4+repack0-5
printer-driver-sag-gdi 0.1-5
printer-driver-splix 2.0.0+svn315-6fakesync1
procps 2:3.3.12-3ubuntu1.2
psmisc 23.1-1ubuntu0.1
publicsuffix 20180223.1310-1
pulseaudio 1:11.1-1ubuntu7.2
pulseaudio-module-bluetooth 1:11.1-1ubuntu7.2
pulseaudio-utils 1:11.1-1ubuntu7.2
pxlib1 0.6.7-1
python 2.7.15~rc1-1
python-apt-common 1.6.4
python-cairo 1.16.2-1
python-crypto 2.6.1-8ubuntu2
python-dnspython 1.15.0-1
python-gobject-2 2.28.6-12ubuntu3
python-gtk2 2.24.0-5.1ubuntu2
python-ldb 2:1.2.3-1ubuntu0.1
python-minimal 2.7.15~rc1-1
python-samba 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
python-talloc 2.1.10-2ubuntu1
python-tdb 1.3.15-2
python2.7 2.7.15-4ubuntu4~18.04
python2.7-minimal 2.7.15-4ubuntu4~18.04
python3 3.6.7-1~18.04
python3-apport 2.20.9-0ubuntu7.7
python3-apt 1.6.4
python3-aptdaemon 1.1.1+bzr982-0ubuntu19.1
python3-aptdaemon.gtk3widgets 1.1.1+bzr982-0ubuntu19.1
python3-asn1crypto 0.24.0-1
python3-cairo 1.16.2-1
python3-certifi 2018.1.18-2
python3-cffi-backend 1.11.5-1
python3-chardet 3.0.4-1
python3-commandnotfound 18.04.5
python3-crypto 2.6.1-8ubuntu2
python3-cryptography 2.1.4-1ubuntu1.3
python3-cups 1.9.73-2
python3-cupshelpers 1.5.11-1ubuntu2
python3-dateutil 2.6.1-1
python3-dbus 1.2.6-1
python3-debconf 1.5.66ubuntu1
python3-debian 0.1.32
python3-defer 1.0.6-2build1
python3-distro-info 0.18ubuntu0.18.04.1
python3-distupgrade 1:18.04.34
python3-distutils 3.6.8-1~18.04
python3-gdbm 3.6.8-1~18.04
python3-gi 3.26.1-2ubuntu1
python3-gi-cairo 3.26.1-2ubuntu1
python3-httplib2 0.9.2+dfsg-1ubuntu0.1
python3-idna 2.6-1
python3-keyring 10.6.0-1
python3-keyrings.alt 3.0-1
python3-launchpadlib 1.10.6-1
python3-lazr.restfulclient 0.13.5-1
python3-lazr.uri 1.0.3-2build1
python3-lib2to3 3.6.8-1~18.04
python3-minimal 3.6.7-1~18.04
python3-netifaces 0.10.4-0.1build4
python3-oauth 1.0.1-5
python3-olefile 0.45.1-1
python3-pexpect 4.2.1-1
python3-pil 5.1.0-1
python3-pkg-resources 39.0.1-2
python3-problem-report 2.20.9-0ubuntu7.7
python3-ptyprocess 0.5.2-1
python3-pyxattr 0.6.0-2build2
python3-reportlab 3.4.0-3build1
python3-reportlab-accel 3.4.0-3build1
python3-requests 2.18.4-2ubuntu0.1
python3-requests-unixsocket 0.1.5-3
python3-secretstorage 2.3.1-2
python3-simplejson 3.13.2-1
python3-six 1.11.0-2
python3-software-properties 0.96.24.32.11
python3-update-manager 1:18.04.11.10
python3-urllib3 1.22-1ubuntu0.18.04.1
python3-wadllib 1.3.2-3ubuntu0.18.04.1
python3-xkit 0.5.0ubuntu2
python3-yaml 3.12-1build2
python3-zope.interface 4.3.2-1build2
python3.5 3.5.3-1ubuntu0~17.04.2
python3.5-minimal 3.5.3-1ubuntu0~17.04.2
python3.6 3.6.8-1~18.04.1
python3.6-minimal 3.6.8-1~18.04.1
qpdf 8.0.2-3
qt5-gtk-platformtheme 5.9.5+dfsg-0ubuntu2.1
qt5-qmake 5.9.5+dfsg-0ubuntu2.1
qt5-qmake-bin 5.9.5+dfsg-0ubuntu2.1
qtbase5-dev 5.9.5+dfsg-0ubuntu2.1
qtbase5-dev-tools 5.9.5+dfsg-0ubuntu2.1
qtchooser 64-ga1b6736-5
qttranslations5-l10n 5.9.5-0ubuntu1
readline-common 7.0-3
remmina 1.2.0-rcgit.29+dfsg-1ubuntu1
remmina-common 1.2.0-rcgit.29+dfsg-1ubuntu1
remmina-plugin-rdp 1.2.0-rcgit.29+dfsg-1ubuntu1
remmina-plugin-secret 1.2.0-rcgit.29+dfsg-1ubuntu1
remmina-plugin-vnc 1.2.0-rcgit.29+dfsg-1ubuntu1
rfkill 2.31.1-0.4ubuntu3.3
rsync 3.1.2-2.1ubuntu1
rsyslog 8.32.0-1ubuntu4
rtmpdump 2.4+20151223.gitfa8646d.1-1
samba 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
samba-common 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
samba-common-bin 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
samba-dsdb-modules 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
samba-libs 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
samba-vfs-modules 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
sane-utils 1.0.27-1~experimental3ubuntu2.1
screen 4.6.2-1ubuntu1
scrot 0.8-18
sed 4.4-2
sensible-utils 0.0.12
session-migration 0.3.3
sgml-base 1.29
shared-mime-info 1.9-2
simple-scan 3.28.0-0ubuntu1
snapd 2.39.2+18.04
software-properties-common 0.96.24.32.11
software-properties-gtk 0.96.24.32.11
sound-theme-freedesktop 0.8-2ubuntu1
squashfs-tools 1:4.3-6ubuntu0.18.04.1
ssh 1:7.6p1-4ubuntu0.3
ssh-import-id 5.7-0ubuntu1.1
ssl-cert 1.0.39
stacer 1.0.9-1
strace 4.21-1ubuntu1
sudo 1.8.21p2-3ubuntu1
sylpheed 3.5.1-1ubuntu3
sylpheed-doc 20140827-1
sylpheed-i18n 3.5.1-1ubuntu3
sylpheed-plugins 3.5.1-1ubuntu3
synaptic 0.84.3ubuntu1
syslinux 3:6.03+dfsg1-2
syslinux-common 3:6.03+dfsg1-2
syslinux-legacy 2:3.63+dfsg-2ubuntu9
system-config-printer 1.5.11-1ubuntu2
system-config-printer-common 1.5.11-1ubuntu2
system-tools-backends 2.10.2-3
systemd 237-3ubuntu10.25
systemd-sysv 237-3ubuntu10.25
sysvinit-utils 2.88dsf-59.10ubuntu1
t1utils 1.41-2
tar 1.29b-2ubuntu0.1
tcpdump 4.9.2-3
tdb-tools 1.3.15-2
telnet 0.17-41
time 1.7-25.1build1
transmission-cli 2.92-3ubuntu2
transmission-common 2.92-3ubuntu2
transmission-daemon 2.92-3ubuntu2
transmission-gtk 2.92-3ubuntu2
ttf-ubuntu-font-family 1:0.83-2
tzdata 2019b-0ubuntu0.18.04
ubuntu-advantage-tools 17
ubuntu-drivers-common 1:0.5.2.3
ubuntu-keyring 2018.09.18.1~18.04.0
ubuntu-minimal 1.417.3
ubuntu-mono 16.10+18.04.20181005-0ubuntu1
ubuntu-release-upgrader-core 1:18.04.34
ubuntu-release-upgrader-gtk 1:18.04.34
ubuntu-report 1.3.2
ubuntu-standard 1.417.3
ucf 3.0038
udev 237-3ubuntu10.25
udisks2 2.7.6-3ubuntu0.2
ufw 0.36-0ubuntu0.18.04.1
unzip 6.0-21ubuntu1
update-inetd 4.44
update-manager 1:18.04.11.10
update-manager-core 1:18.04.11.10
update-notifier 3.192.1.7
update-notifier-common 3.192.1.7
upower 0.99.7-2ubuntu0.18.04.1
ureadahead 0.100.0-21
usb-creator-common 0.3.5ubuntu18.04.2
usb-creator-gtk 0.3.5ubuntu18.04.2
usb-modeswitch 2.5.2+repack0-2ubuntu1
usb-modeswitch-data 20170806-2
usbutils 1:007-4build1
util-linux 2.31.1-0.4ubuntu3.3
uuid-runtime 2.31.1-0.4ubuntu3.3
va-driver-all 2.1.0-3
vim 2:8.0.1453-1ubuntu1.1
vim-common 2:8.0.1453-1ubuntu1.1
vim-runtime 2:8.0.1453-1ubuntu1.1
vim-tiny 2:8.0.1453-1ubuntu1.1
vino 3.22.0-3ubuntu1
vlc 3.0.7.1-0ubuntu18.04.1
vlc-bin 3.0.7.1-0ubuntu18.04.1
vlc-data 3.0.7.1-0ubuntu18.04.1
vlc-l10n 3.0.7.1-0ubuntu18.04.1
vlc-plugin-base 3.0.7.1-0ubuntu18.04.1
vlc-plugin-notify 3.0.7.1-0ubuntu18.04.1
vlc-plugin-qt 3.0.7.1-0ubuntu18.04.1
vlc-plugin-samba 3.0.7.1-0ubuntu18.04.1
vlc-plugin-skins2 3.0.7.1-0ubuntu18.04.1
vlc-plugin-video-output 3.0.7.1-0ubuntu18.04.1
vlc-plugin-video-splitter 3.0.7.1-0ubuntu18.04.1
vlc-plugin-visualization 3.0.7.1-0ubuntu18.04.1
vnc4server 4.1.1+xorg4.3.0-37.3ubuntu2
wamerican 2017.08.24-1
webmin 1.820
wget 1.19.4-1ubuntu2.2
whiptail 0.52.20-1ubuntu1
whoopsie 0.2.62ubuntu0.1
wireless-regdb 2018.05.09-0ubuntu1~18.04.1
wireless-tools 30~pre9-12ubuntu1
wpasupplicant 2:2.6-15ubuntu2.4
wvdial 1.61-4.1build1
x11-apps 7.7+6ubuntu1
x11-common 1:7.7+19ubuntu7.1
x11-session-utils 7.7+2build1
x11-utils 7.7+3build1
x11-xkb-utils 7.7+3ubuntu0.18.04.1
x11-xserver-utils 7.7+7build1
x11proto-core-dev 2018.4-4
x11proto-damage-dev 1:2018.4-4
x11proto-dev 2018.4-4
x11proto-fixes-dev 1:2018.4-4
x11proto-xext-dev 2018.4-4
x11proto-xf86vidmode-dev 2018.4-4
xauth 1:1.0.10-1
xbacklight 1.2.1-1build2
xbase-clients 1:7.7+19ubuntu7.1
xbitmaps 1.1.1-2
xdg-user-dirs 0.17-1ubuntu1
xdg-user-dirs-gtk 0.10-2
xdg-utils 1.1.2-1ubuntu2.3
xfburn 0.5.5-1
xfce4-notifyd 0.4.2-0ubuntu2
xfce4-power-manager 1.6.1-0ubuntu1
xfce4-power-manager-data 1.6.1-0ubuntu1
xfce4-power-manager-plugins 1.6.1-0ubuntu1
xfconf 4.12.1-1
xfonts-base 1:1.0.4+nmu1
xfonts-encodings 1:1.0.4-2
xfonts-utils 1:7.7+6
xinit 1.3.4-3ubuntu3
xkb-data 2.23.1-1ubuntu1
xml-core 0.18
xorg-sgml-doctools 1:1.11-1
xpad 5.0.0-1
xserver-common 2:1.19.6-1ubuntu4.3
xserver-xorg-core 2:1.19.6-1ubuntu4.3
xserver-xorg-input-all 1:7.7+19ubuntu7.1
xserver-xorg-input-libinput 0.27.1-1
xserver-xorg-input-synaptics 1.9.0-1ubuntu1
xserver-xorg-video-all 1:7.7+19ubuntu7.1
xserver-xorg-video-amdgpu 18.0.1-1
xserver-xorg-video-ati 1:18.0.1-1
xserver-xorg-video-fbdev 1:0.4.4-1build6
xserver-xorg-video-intel 2:2.99.917+git20171229-1
xserver-xorg-video-nouveau 1:1.0.15-2
xserver-xorg-video-qxl 0.1.5-2build1
xserver-xorg-video-radeon 1:18.0.1-1
xserver-xorg-video-vesa 1:2.3.4-1build3
xserver-xorg-video-vmware 1:13.2.1-1build1
xtrans-dev 1.3.5-1
xul-ext-ubufox 3.4-0ubuntu1.17.10.1
xxd 2:8.0.1453-1ubuntu1.1
xz-utils 5.2.2-1.3
youtube-dl 2018.03.14-1ubuntu18.04.1
zip 3.0-11build1
zlib1g 1:1.2.11.dfsg-0ubuntu2
zlib1g-dev 1:1.2.11.dfsg-0ubuntu2
